Name,Link,Serving,Calories,SatFat,Cholesterol,Sodium,Fiber,AddSug,VitD,Calcium,Iron,Potassium
Honey Bunches of Oats with Almonds,https://www.honeybunchesofoats.com/products/with-almonds/,42,170,0%,0%,8%,9%,15%,10%,0%,90%,0%
Kellogg's Corn Flakes,https://www.kelloggs.com/en_US/products/kellogg-s-corn-flakes-cereal-product.html,42,150,0%,0%,13%,5%,8%,15%,0%,60%,0%
Original Cheerios,https://www.cheerios.com/products/original-cheerios/,39,140,3%,0%,8%,14%,4%,10%,10%,70%,6%
Honey Nut Cheerios,https://www.cheerios.com/products/honey-nut-cheerios/,37,140,0%,0%,9%,10%,24%,10%,10%,20%,4%
Kellogg's Frosted Flakes,https://www.kelloggs.com/en_US/products/kellogg-s-frosted-flakes-cereal-product.html,37,130,0%,0%,8%,4%,24%,10%,0%,40%,0%
Cinnamon Toast Crunch,https://www.cinnamontoastcrunch.com/product/cinnamon-toast-crunch/,41,170,0%,0%,10%,7%,24%,10%,10%,20%,0%
Original Lucky Charms,https://www.luckycharms.com/products/original-lucky-charms/,36,140,0%,0%,10%,7%,24%,10%,10%,20%,0%
Kellogg's Froot Loops,https://www.kelloggs.com/en_US/products/froot-loops-cereal.html,39,150,3%,0%,9%,8%,24%,10%,0%,25%,0%
Kellogg's Special K Original,https://www.specialk.com/en_US/products/cereal/original-cereal.html,39,150,0%,0%,12%,2%,8%,10%,0%,60%,0%
Kellogg's Raisin Bran Original,https://www.kelloggs.com/en_US/products/kellogg-s-raisin-bran-cereal-product.html,59,190,0%,0%,9%,26%,18%,0%,0%,10%,6%
Reese's Puffs,https://www.generalmillscf.com/products/category/cereal/bulk/reeses-puffs,39,160,4%,0%,9%,7%,24%,10%,10%,20%,2%
Kellogg's Frosted Mini-Wheats,https://www.frostedminiwheats.com/en_US/products/kellogg-s-frosted-mini-wheats-bite-size-cereal-product.html,60,210,0%,0%,0%,21%,24%,0%,0%,100%,2%
Kellogg's Apple Jacks Cereal,https://www.kelloggs.com/en_US/products/kellogg-s-apple-jacks-cereal-product.html,39,150,3%,0%,9%,8%,26%,10%,0%,25%,0%
Quaker Life Cereal Original,https://www.quakeroats.com/products/cold-cereals/life-cereal/regular,42,160,0%,0%,9%,10%,16%,0%,10%,70%,2%
